application_archive_id | application:OK | found=['应聘档案编号'] missing=[]
application_archive_id | interview_mgmt:OK | found=['应聘档案编号'] missing=[]
name | application:OK | found=['姓名'] missing=['候选人']
name | interview_mgmt:OK | found=['候选人姓名'] missing=[]
phone | application:OK | found=['联系电话'] missing=['电话']
phone | interview_mgmt:OK | found=['候选人手机号'] missing=[]
gender | application:OK | found=['性别'] missing=[]
birth_date | application:OK | found=['出生日期'] missing=[]
graduation_year | application:OK | found=['毕业届次'] missing=[]
work_intent_location | application:OK | found=['工作意向地'] missing=[]
planned_position | application:OK | found=['拟录岗位', '对外发布岗位名称', '对外发布职位名称'] missing=[]
planned_level | application:OK | found=['拟录职级'] missing=[]
recruit_type | application:OK | found=['招聘类型'] missing=[]
email | application:OK | found=['电子邮箱'] missing=[]
email | interview_mgmt:OK | found=['候选人邮箱'] missing=[]
education | application:OK | found=['学历（1）'] missing=['学历']
education | interview_mgmt:OK | found=['最高学历'] missing=[]
school | application:OK | found=['毕业学校（1）'] missing=['毕业院校']
school | interview_mgmt:OK | found=['最高学历毕业院校'] missing=[]
major | application:OK | found=['专业（1）'] missing=['专业']
major | interview_mgmt:OK | found=['最高学历毕业院校专业'] missing=[]
dept_level3 | application:OK | found=['拟录二层部门'] missing=['三层部门', '入职三层']
_group_name | application:OK | found=['拟录一层部门'] missing=['二层部门']
sourcer | application:MISSING_ALL | found=[] missing=['拓源人']
sourcer_dept | application:MISSING_ALL | found=[] missing=['拓源人部门']
interface_person | application:MISSING_ALL | found=[] missing=['接口人']
interface_dept | application:MISSING_ALL | found=[] missing=['接口人部门']
registration_source | application:OK | found=['渠道名称', '渠道类型'] missing=['来源渠道']
work_location | application:OK | found=['拟录工作地', '岗位地点'] missing=['拟录取工作地', '工作地']
current_step | application:OK | found=['当前缓解'] missing=['当前环节']
current_step | interview_mgmt:OK | found=['当前环节'] missing=[]
current_step_status | application:OK | found=['当前环节状态'] missing=[]
current_step_status | interview_mgmt:OK | found=['当前环节状态'] missing=[]
interview_progress | interview_mgmt:OK | found=['面试进展'] missing=[]
interview_assess_status | interview_mgmt:OK | found=['面试考核状态'] missing=[]
interview_conclusion | interview_mgmt:OK | found=['面试结论'] missing=[]
delivery_time | application:OK | found=['投递时间'] missing=[]
application_status | application:OK | found=['应聘状态'] missing=[]
registration_status | application:MISSING_ALL | found=[] missing=['登记状态']
resume_screening_status | application:MISSING_ALL | found=[] missing=['简历筛选状态']
qualification_status | application:MISSING_ALL | found=[] missing=['资审状态']
commercial_secret_status | application:OK | found=['商业秘密状态'] missing=['商业秘密签署状态', '保密协议状态']
written_test_status | application:MISSING_ALL | found=[] missing=['笔试状态']
written_test_status | interview_mgmt:OK | found=['考试状态'] missing=[]
personality_test_status | application:MISSING_ALL | found=[] missing=['性格测评状态']
personality_test_status | interview_mgmt:OK | found=['综测状态'] missing=[]
qualification_interview_status | application:MISSING_ALL | found=[] missing=['资格面试状态']
tech_interview_status | application:MISSING_ALL | found=[] missing=['技术面状态']
manager_interview_status | application:MISSING_ALL | found=[] missing=['主管面状态']
approval_status | application:MISSING_ALL | found=[] missing=['报批状态']
salary_status | application:MISSING_ALL | found=[] missing=['谈薪状态']
offer_status | application:MISSING_ALL | found=[] missing=['Offer状态']
contract_signing_status | application:MISSING_ALL | found=[] missing=['签约情况状态']
sign_status | application:MISSING_ALL | found=[] missing=['签约状态']
onboarded | application:MISSING_ALL | found=[] missing=['是否入职']
personality_test_result | NO_SOURCES | 
qualification_interview_result | NO_SOURCES | 
tech_interview_result | interview_mgmt:OK | found=['专业面试-面试结论', '专业面试1-面试结论'] missing=[]
manager_interview_result | interview_mgmt:OK | found=['业务主管面试-面试结论'] missing=[]
offer_send_time | NO_SOURCES | 
expected_onboard_time | NO_SOURCES | 
onboard_risk | NO_SOURCES | 
progress | NO_SOURCES | 
